GHCND:RQ1PRCY0001,"CAYEY 1.6 NE, US",2016-07-18,2015-03-01
GHCND:RQ1PRFJ0002,"FAJARDO 0.4 NE, US",2017-09-29,2016-02-11
GHCND:RQ1PRGB0003,"GUARAGUAO 5.8 S, US",2015-08-06,2014-08-01
GHCND:RQ1PRHM0001,"HUMACAO 0.9 SE, US",2015-10-04,2014-06-01
GHCND:RQ1PRHT0001,"HATILLO 1.1 ESE, US",2018-07-10,2014-06-01
GHCND:RQ1PRHT0003,"HATILLO 0.2 ESE, US",2018-09-18,2014-09-01
GHCND:RQ1PRIS0002,"ISABELA 0.6 S, US",2018-09-17,2017-07-15
GHCND:RQ1PRJD0002,"JUANA DIAZ 2.9 SW, US",2018-09-17,2017-03-27
GHCND:RQ1PRJN0001,"JUNCOS 0.3 WSW, US",2018-09-18,2015-06-01
GHCND:RQ1PRLJ0001,"LAJAS 0.7 SE, US",2018-07-13,2014-06-01
GHCND:RQ1PRLJ0002,"LAJAS 2.2 E, US",2018-09-14,2014-07-01
GHCND:RQ1PRLM0001,"LAS MARIAS 9.6 ESE, US",2018-09-18,2016-07-29
GHCND:RQ1PRLQ0001,"LUQUILLO 2.5 SE, US",2015-12-11,2014-05-01
GHCND:RQ1PRLR0002,"LARES 1.6 SSW, US",2018-09-07,2016-08-31
GHCND:RQ1PRLR0004,"LARES 4.1 ESE, US",2018-04-24,2017-01-27
GHCND:RQ1PRMC0001,"MOCA 0.3 S, US",2018-06-22,2016-06-18
GHCND:RQ1PRMY0003,"MAYAGUEZ 1.7 NE, US",2014-11-16,2014-06-01
GHCND:RQ1PRMY0005,"MAYAGUEZ ARRIBA, US",2018-09-18,2015-01-01
GHCND:RQ1PRPC0001,"PONCE 1.8 NE, US",2015-05-21,2014-05-01
GHCND:RQ1PRPC0002,"PONCE 3.2 NNE, US",2018-09-17,2014-06-01
GHCND:RQ1PRPC0004,"PONCE 5.0 NNW, US",2018-09-16,2014-10-01
GHCND:RQ1PRPC0005,"PONCE 3.5 N, US",2017-09-15,2015-04-01
GHCND:RQ1PRPC0006,"PONCE 2.3 NE, US",2018-09-16,2016-06-26
GHCND:RQ1PRRN0001,"RINCON 3.4 SSE, US",2015-08-01,2014-05-01
GHCND:RQ1PRRN0002,"RINCON 3.1 SSE, US",2017-09-19,2014-05-01
GHCND:RQ1PRRN0003,"RINCON 1.5 N, US",2018-09-17,2014-06-01
GHCND:RQ1PRRN0004,"RINCON 2.8 SE, US",2018-08-12,2014-01-01
GHCND:RQ1PRRN0005,"RINCON 1.0 NNW, US",2015-11-17,2014-06-01
GHCND:RQ1PRSJ0001,"SAN JUAN 1.5 W, US",2018-09-18,2014-05-01
GHCND:RQ1PRSJ0003,"SAN JUAN 3.1 ESE, US",2018-09-16,2014-06-01
GHCND:RQ1PRSJ0006,"SAN JUAN 3.0 NNW, US",2017-09-18,2016-08-24
GHCND:RQ1PRSJ0008,"SAN JUAN 2.5 WSW, US",2018-09-17,2018-01-01
GHCND:RQ1PRSS0001,"SAN SEBASTIAN 2.1 NNE, US",2017-10-01,2016-07-31
GHCND:RQ1PRTR0002,"TRUJILLO ALTO 0.8 WSW, US",2018-09-15,2016-02-25
GHCND:RQ1PRUT0002,"UTUADO 5.5 W, US",2017-09-19,2016-11-28
GHCND:RQ1PRVL0002,"VILLALBA 1.2 WSW, US",2018-03-07,2016-01-24
GHCND:RQ1PRVQ0001,"VIEQUES 1.1 WSW, US",2018-04-26,2016-03-31
GHCND:RQC00660040,"ACEITUNA WATER TREATMENT PLANT, US",2015-08-31,1955-01-01
GHCND:RQC00660053,"ADJUNTAS 1 NW, US",2015-12-31,1955-01-01
GHCND:RQC00660061,"ADJUNTAS SUBSTATION, US",2018-07-29,1970-01-01
GHCND:RQC00660147,"AGUIRRE, US",1966-10-31,1931-01-01
GHCND:RQC00660152,"AGUIRRE, US",2018-09-18,1955-04-01
GHCND:RQC00660158,"AIBONITO 1 S, US",2018-09-18,1906-01-01
GHCND:RQC00660410,"ARECIBO 3 ESE, US",2010-12-31,1931-07-01
GHCND:RQC00660426,"ARECIBO OBSERVATORY, US",2018-09-15,1980-02-01
GHCND:RQC00660662,"BARCELONETA 2, US",1990-05-31,1955-01-01
GHCND:RQC00660668,"BARCELONETA 3 SW, US",2010-12-31,1990-09-01
GHCND:RQC00660736,"BARRANQUITAS, US",1991-12-31,1955-01-01
GHCND:RQC00660842,"CANDELARIA TOA BAJA, US",1973-05-31,1955-01-01
GHCND:RQC00660849,"BAYANEY, US",1979-08-31,1970-06-01
GHCND:RQC00660900,"BENAVENTE HORMIGUERO, US",2002-08-31,1973-08-01
GHCND:RQC00660948,"BOCA, US",2013-02-15,1996-07-01
GHCND:RQC00661123,"CABO ROJO, US",1969-08-31,1955-01-01
GHCND:RQC00661142,"CACAOS OROCOVIS, US",2011-10-31,1981-05-01
GHCND:RQC00661300,"CAGUAS, US",1960-08-31,1899-05-01
GHCND:RQC00661301,"CAGUAS 2 ENE, US",1967-05-31,1960-08-01
GHCND:RQC00661309,"CAGUAS 1 W, US",2010-12-31,1970-03-01
GHCND:RQC00661345,"CALERO CAMP, US",2018-06-30,1955-01-01
GHCND:RQC00661423,"CAMBALACHE EXPERIMENTAL FORES, US",1966-02-28,1932-01-01
GHCND:RQC00661536,"CANDELARIA TOA BAJA, US",1995-08-31,1973-10-01
GHCND:RQC00661590,"CANOVANAS, US",2015-11-30,1955-01-01
GHCND:RQC00661623,"CAONILLAS UTUADO, US",1987-11-30,1955-01-01
GHCND:RQC00661634,"CAONILLAS VILLALBA, US",1969-09-30,1955-01-01
GHCND:RQC00661701,"CARITE DAM, US",1980-04-30,1955-01-01
GHCND:RQC00661712,"CARITE PLANT 1, US",1980-03-31,1955-01-01
GHCND:RQC00661845,"CATANO, US",1976-05-31,1955-01-01
GHCND:RQC00661901,"CAYEY 1 E, US",2012-08-31,1955-01-01
GHCND:RQC00662316,"BOCA, US",2010-12-31,1955-01-01
GHCND:RQC00662330,"CERRO GORDO CIALES, US",2010-12-31,1969-10-01
GHCND:RQC00662336,"CERRO MARAVILLA, US",2012-11-30,1969-04-01
GHCND:RQC00662634,"CIDRA 1 E, US",2010-12-31,1899-07-01
GHCND:RQC00662723,"COAMO 2 SW, US",2010-12-31,1955-01-01
GHCND:RQC00662801,"COLOSO, US",2018-09-18,1899-10-01
GHCND:RQC00662823,"COMERIO FALLS PLANT, US",1959-01-31,1955-01-01
GHCND:RQC00662825,"COMERIO FALLS PLANT, US",1974-05-31,1959-02-01
GHCND:RQC00662934,"COROZAL SUBSTATION, US",2013-01-11,1931-01-01
GHCND:RQC00663023,"CORRAL VIEJO, US",2018-07-09,1970-04-01
GHCND:RQC00663409,"DORADO 2 WNW, US",2010-12-31,1931-01-01
GHCND:RQC00663431,"DOS BOCAS, US",2018-07-31,1937-01-01
GHCND:RQC00663532,"ENSENADA 1 W, US",2018-07-31,1955-01-01
GHCND:RQC00663657,"FAJARDO, US",2010-12-31,1931-01-01
GHCND:RQC00663850,"GARROCHALES, US",1970-04-30,1965-09-01
GHCND:RQC00663871,"GARZAS, US",1981-01-31,1939-01-01
GHCND:RQC00663904,"GUAJATACA DAM, US",2018-06-30,1955-01-01
GHCND:RQC00664115,"GUAVATE CAMP, US",1994-06-30,1969-12-01
GHCND:RQC00664126,"GUAYABAL, US",2010-12-31,1955-01-01
GHCND:RQC00664193,"GUAYAMA 2 E, US",2018-09-18,1911-01-01
GHCND:RQC00664211,"GUAYANILLA, US",1961-08-31,1955-01-01
GHCND:RQC00664260,"GUINEO RESERVOIR, US",1969-03-31,1955-01-01
GHCND:RQC00664271,"GURABO, US",1967-05-31,1946-04-01
GHCND:RQC00664276,"GURABO SUBSTATION, US",2015-11-30,1956-03-01
GHCND:RQC00664330,"HACIENDA CONSTANZA, US",2014-06-30,1969-10-01
GHCND:RQC00664340,"HATO ARRIBA ARECIBO, US",2010-12-31,1974-02-01
GHCND:RQC00664613,"HUMACAO 2 SSE, US",1996-01-31,1931-01-01
GHCND:RQC00664677,"INDIERA ALTA, US",1990-06-30,1962-10-01
GHCND:RQC00664685,"INDIERA BAJA, US",1962-09-30,1952-11-01
GHCND:RQC00664702,"ISABELA SUBSTATION, US",2018-07-31,1901-01-01
GHCND:RQC00664867,"JAJOME ALTO, US",2018-06-30,1955-01-01
GHCND:RQC00664910,"JAYUYA, US",2010-12-31,1909-04-01
GHCND:RQC00664911,"JAYUYA 1 SE, US",1981-05-31,1960-03-01
GHCND:RQC00664976,"JOSEFA, US",1969-01-31,1955-01-01
GHCND:RQC00665020,"JUANA DIAZ CAMP, US",2018-07-30,1931-01-01
GHCND:RQC00665064,"JUNCOS 1 SE, US",2018-09-18,1931-01-01
GHCND:RQC00665075,"LA FE, US",1969-03-31,1956-01-01
GHCND:RQC00665097,"LAJAS SUBSTATION, US",2018-07-31,1900-01-01
GHCND:RQC00665123,"LA MUDA CAGUAS, US",2010-12-31,1971-09-01
GHCND:RQC00665175,"LARES, US",1991-12-31,1903-06-01
GHCND:RQC00665474,"LOS CANOS, US",1973-08-31,1955-01-01
GHCND:RQC00665693,"MAGUEYES ISLAND, US",2018-07-31,1959-01-01
GHCND:RQC00665807,"MANATI 2 E, US",2018-07-31,1900-01-01
GHCND:RQC00665906,"MARICAO, US",1969-04-30,1955-01-01
GHCND:RQC00665908,"MARICAO 2 SSW, US",2018-09-18,1969-05-01
GHCND:RQC00665911,"MARICAO FISH HATCHERY, US",2018-09-17,1955-01-01
GHCND:RQC00666017,"MATRULLAS DAM, US",1981-04-30,1955-01-01
GHCND:RQC00666050,"MAUNABO, US",2010-12-31,1899-05-01
GHCND:RQC00666073,"MAYAGUEZ CITY, US",2013-01-31,1900-01-01
GHCND:RQC00666083,"MAYAGUEZ AIRPORT, US",2015-08-29,1957-01-01
GHCND:RQC00666128,"MELANIA DAM, US",1969-01-31,1955-01-01
GHCND:RQC00666255,"MONA ISLAND, US",1974-08-31,1955-01-01
GHCND:RQC00666258,"MONA ISLAND 2, US",2010-12-31,1980-02-01
GHCND:RQC00666270,"MONTE BELLO MANATI, US",2010-12-31,1969-10-01
GHCND:RQC00666361,"MORA CAMP, US",2018-06-30,1955-01-01
GHCND:RQC00666390,"MOROVIS 1 N, US",2018-07-31,1956-02-01
GHCND:RQC00666427,"NAGUABO 3 E, US",1983-05-31,1972-04-01
GHCND:RQC00666432,"NAGUABO 6 W, US",1967-05-31,1955-01-01
GHCND:RQC00666440,"NARANJALES, US",2009-03-31,2007-08-01
GHCND:RQC00666514,"NEGRO COROZAL, US",2011-11-30,1976-01-01
GHCND:RQC00666730,"PALMAREJO VEGA BAJA, US",2018-09-17,2009-06-01
GHCND:RQC00666740,"PALMARITO, US",1975-04-30,1963-03-01
GHCND:RQC00666805,"PARAISO, US",2018-07-31,1956-01-01
GHCND:RQC00666900,"PATILLAS, US",2010-12-31,1982-04-01
GHCND:RQC00666904,"PATILLAS DAM, US",1969-01-31,1931-01-01
GHCND:RQC00666982,"PENUELAS SALTO GARZA, US",1971-02-28,1955-01-01
GHCND:RQC00666983,"PENUELAS 1 E, US",2015-07-31,1971-03-01
